id_municipio,nome,sigla_uf,idhm_e,idhm_r,renda_pc,indice_gini,prop_pobreza,taxa_analfabetismo_15_mais,expectativa_anos_estudo,taxa_desocupacao,ideb
2902104,Araci,BA,0.381,0.534,221.98,0.57,52.7,34.37,6.94,6.68,2.5
2902203,Aramari,BA,0.47,0.568,274.61,0.51,39.06,19.58,7.48,18.13,2.9
2902252,Arataca,BA,0.413,0.557,256.14,0.47,38.64,31.58,7.71,6.85,2.6
2902302,Aratuípe,BA,0.443,0.57,278.23,0.52,39.85,24.62,7.43,7.14,2.6
2902401,Aurelino Leal,BA,0.434,0.555,253.19,0.45,36.6,26.72,7.6,11.12,3.3
2902500,Baianópolis,BA,0.492,0.543,235.05,0.57,49.22,30.64,8.99,8.03,3.6
2902609,Baixa Grande,BA,0.471,0.549,243.98,0.53,45.3,25.56,8.76,7.44,2.8
2902658,Banzaê,BA,0.468,0.539,228.54,0.46,39.9,26.34,8.51,5.5,3
2902708,Barra,BA,0.457,0.503,183.03,0.59,59.44,23.54,8.33,6.33,3.2
2902807,Barra da Estiva,BA,0.469,0.566,270.66,0.53,41.63,18.03,7.83,5.42,3.5
2902906,Barra do Choça,BA,0.386,0.563,266.13,0.44,31.84,27.71,7.69,6.13,2.5
2903003,Barra do Mendes,BA,0.553,0.578,292.41,0.57,42.11,14.72,9.94,11.52,3.4
2903102,Barra do Rocha,BA,0.465,0.585,304.56,0.52,34.9,26.79,8.47,10.27,3.4
2903201,Barreiras,BA,0.668,0.695,602.82,0.56,16.27,10.33,9.21,9.57,3.3
2903235,Barro Alto,BA,0.55,0.551,247.32,0.51,44.24,18.21,9.55,3.93,3.1
2903276,Barrocas,BA,0.503,0.574,284.41,0.46,32.83,1.97,8.84,6.4,2.9
2903409,Belmonte,BA,0.48,0.577,28.99,0.5,35.61,24.76,8.21,15.66,2.5
2903508,Belo Campo,BA,0.444,0.562,263.52,0.49,39.69,26.12,8.49,7.07,3.2
2903706,Boa Nova,BA,0.453,0.535,223.48,0.51,47.41,3.17,9.58,12.07,3
2903805,Boa Vista do Tupim,BA,0.447,0.514,195.71,0.56,54.52,3.03,9.77,14.42,2.8
2903904,Bom Jesus da Lapa,BA,0.533,0.615,367.62,0.6,35.74,19.18,8.52,12.14,3.3
2903953,Bom Jesus da Serra,BA,0.407,0.535,223.19,0.52,46,27.15,7.64,11.58,2.6
2904001,Boninal,BA,0.514,0.564,26.77,0.53,40.34,22.02,9.39,9.23,3.2
